id,area,feature,classification,finding,source_references,verification,priority,next_step
F01,Discovery & content,"Website shell, ordinary navigation, mobile menu and theme",Fully operational/functional,"Header/footer navigation and mobile drawer work; light/dark preference survives reload. This is the navigation shell, not a certification of every destination or accessibility.",includes/view.php:262-350; assets/js/site.js:4098-4165,"B20, B36; public route checks",Maintain,Retain regression coverage for signed-in and mobile navigation.
F02,Discovery & content,Public residence catalogue and cards,Fully operational/functional,Live residences are loaded from the database and rendered as catalogue cards. Paused/pending items are omitted from the public catalogue; direct-booking enforcement is a separate defect.,includes/repo.php:142-215; assets/js/site.js:653-710,A01; home/stays route checks,Maintain,Add tests for large and empty catalogues.
F03,Discovery & content,Stay search and filtering,Partially functional,Basic city/capacity/type/price filters exist. Choosing Ikoyi also matches every Lagos residence because the predicate ORs area with city. Dates and flexible-date availability do not filter results; category tabs raise a missing-element error.,assets/js/site.js:840-958,"B02, B03, B05, B40",P1,Use explicit city/area identifiers and authoritative date availability; fix tab handlers.
F04,Discovery & content,Price/rating sorting,Fully operational/functional,"Price ascending/descending and rating sorting are implemented on the loaded catalogue; ascending price was exercised successfully. “Newest” is only a new flag, not a publication-date ranking.",assets/js/site.js:917-920,"B02, B40; source review",Maintain,Add stable tie-breaking and a real date field if chronological newest is required.
F05,Discovery & content,Curated collections,Partially functional,"Collection tiles, descriptions and member counts render, but selecting a collection does not restrict the stays list to its mapped properties.",assets/js/site.js:902-921; assets/js/site.js:1228-1237,B04,P1,Apply COLLECTION_MAP when parsing col-* filters.
F06,Discovery & content,Residence detail pages,Partially functional,"Established seeded homes render amenities, images and reviews. A pre-existing unreviewed listing and both newly created/published test listings fell back to the 404 UI: Object.entries(p.scores) receives null. Host identity/contact presentation is also hardcoded.",assets/js/site.js:961-1098; assets/js/site.js:1025; includes/repo.php:168-215,3 failed stay route checks; B17,P1,Provide defaults for optional listing data and render the actual owner and property details.
F07,Discovery & content,Map discovery,Partially functional,"An illustrated map and clickable pins exist, but the map has 12 hardcoded property pins, does not represent new listings, and map.php initially opens the list instead of the map.",assets/js/site.js:894-899; assets/js/site.js:1178-1224; assets/js/site.js:4037-4038,"B06, B07",P1,Generate pins from actual coordinates and filtered results; initialize map mode correctly.
F08,Discovery & content,Availability calendars,Partially functional,"Date widgets render, and final submission rejects overlaps with existing active reservations. Frontend calendars use sold-out demo ranges rather than JL.blocked; host date blocks are not enforced by booking availability.",assets/js/site.js:1100-1134; assets/js/site.js:1584-1592; includes/pricing.php:275-296,"A45, A51; B03; source review",P0,"Unify calendar display and booking checks around bookings plus owner blocks, with transactional conflict protection."
F09,Discovery & content,True 360-degree tours and property-specific floor plans,Not working at all,"The “360°” viewer pans/zooms a single ordinary image. Floor plans are generic generated SVGs, not uploaded or measured layouts for each residence.",assets/js/site.js:1135-1157,Source review,P2,Integrate real panoramas/property plans or relabel these as illustrative previews.
F10,Discovery & content,Neighbourhood guides and journal/article reading,Fully operational/functional,"Database-backed guide and article pages load, including all six neighbourhood and six journal detail routes in the fixture. Editorial accuracy and fresh content are outside this technical check.",includes/repo.php:306-477; assets/js/site.js:1240-1278; assets/js/site.js:3458-3483,12 guide/article route checks,Maintain,Keep published content and metadata accurate; fix collection/search destinations separately.
F11,Discovery & content,Help search and FAQ accordion,Fully operational/functional,"FAQ keyword search produces matching answers and the accordion expands/collapses. This does not imply that the support, dispute or emergency services described there are implemented.",assets/js/site.js:3485-3503; assets/js/site.js:3524-3533,B21; help route check,Maintain,Keep answers aligned with implemented capabilities.
F12,Discovery & content,Public reviews and trust presentation,Partially functional,"Published review text and aggregate data display. Individual reviews are drawn with five stars regardless of their actual score, some metrics are fixed, “verified completed stay” is not enforced consistently, and AI summaries are stored text rather than generated on review submission.",assets/js/site.js:3867-3905; includes/repo.php:168-215; api/mobile/action.php:122-145,"reviews route; A55-A57, M05; source review",P1,Render real individual ratings and metrics; unify verified-stay eligibility before making trust claims.
F13,Discovery & content,"About, hosting information and roadmap pages",Fully operational/functional,"Informational pages render correctly from templates/catalogue data. Roadmap items labelled future/research are informational, not evidence that those capabilities exist.",assets/js/site.js:2355-2414; assets/js/site.js:3839-3865; assets/js/site.js:3928-3942,about/host/future route checks,Maintain,Remove inaccurate live-service assertions; keep roadmap status honest.
F14,Accounts,"Email/password guest and owner registration, login and logout",Fully operational/functional,"Valid registration creates a hashed-password account and session; invalid signup is rejected. Browser login and logout work, and signup cannot grant the admin role. Suspension and MFA are separate failed controls below.",api/auth.php:6-65; includes/auth.php:175-235; assets/js/site.js:2258-2345,"A05-A11, A75, B01; protected-route checks",Maintain,Retest after tightening suspension and MFA requirements.
F15,Accounts,Change an existing password,Fully operational/functional,"The current password, minimum length and confirmation are checked; the new hash persists and fresh login with the new password succeeds. This is not forgotten-password recovery or global session revocation.",api/account.php:11-27; assets/js/site.js:2234-2247,A73; UI handler source review,Maintain,Add session/token revocation policy and browser regression coverage.
F16,Accounts,Forgotten-password recovery,Not working at all,"No reset-token issuance, recovery email or reset endpoint is supplied. Help/forgot-password links are not a recovery workflow.",assets/js/site.js:2258-2345; assets/js/site.js:3588; api/auth.php:1-65,Repository endpoint inventory; source review,P1,"Implement expiring, single-use reset tokens and real recovery delivery."
F17,Accounts,Social/phone sign-in and Okta SSO,Not working at all,Email/password is the implemented authentication path. Social/phone methods named in the frontend constants have no provider callbacks or OTP flows and are not implemented by the current sign-in form; admSSO is explicitly a stub.,assets/js/site.js:24; assets/js/site.js:2286-2308; assets/js/site.js:3562-3569,Repository endpoint inventory; source review,P2,Implement providers securely or remove/disable unavailable sign-in options.
F18,Accounts,Profile and personal preference editing,Partially functional,"Profile display and profile-update APIs work, but the account page lacks a wired profile edit form. Currency works; language and marketing/WhatsApp preference controls are not saved.",api/account.php:30-41; api/mobile/action.php:182-194; assets/js/site.js:2178-2255,A74; account route; B19,P1,Expose and wire profile editing and persist each preference separately.
